# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Side,Noise,Image,TopLeft,TopMid,TopRight,BottomLeft,BottomMid,BottomRight
1,1,10,CFD-WF-023-026-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-231-099-N.jpg,CFD-WF-009-004-HO.jpg,CFD-WF-012-004-HC.jpg,CFD-WF-034-061-HC.jpg
1,-1,100,CFD-WM-001-007-HC.jpg,CFD-WF-240-083-N.jpg,CFD-WF-028-025-HC.jpg,CFD-WF-022-023-A.jpg,CFD-WF-009-004-HO.jpg,CFD-WF-216-079-N.jpg
1,1,104,CFD-WF-023-021-HC.jpg,CFD-WF-017-016-HC.jpg,CFD-WF-007-003-HO.jpg,CFD-WF-002-008-HC.jpg,CFD-WF-021-013-F.jpg,CFD-WM-001-007-HC.jpg
1,-1,113,CFD-WF-006-019-A.jpg,CFD-WF-250-167-N.jpg,CFD-WF-012-017-F.jpg,CFD-WF-030-031-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-203-229-N.jpg
0,-1,60,CFD-WF-012-017-F.jpg,CFD-WF-031-015-A.jpg,CFD-WF-218-087-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-012-012-A.jpg,CFD-WF-028-019-F.jpg
0,-1,84,CFD-WF-024-006-HO.jpg,CFD-WF-005-016-HC.jpg,CFD-WF-011-002-N.jpg,CFD-WF-017-023-A.jpg,CFD-WF-226-095-N.jpg,CFD-WM-001-007-HC.jpg
1,-1,150,CFD-WF-224-099-N.jpg,CFD-WF-033-041-HC.jpg,CFD-WF-008-003-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-016-021-A.jpg,CFD-WF-010-004-N.jpg
0,-1,122,CFD-WF-005-022-A.jpg,CFD-WF-018-012-A.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-008-003-HO.jpg,CFD-WF-015-023-HC.jpg,CFD-WF-218-087-N.jpg
1,1,50,CFD-WF-031-005-HO.jpg,CFD-WF-027-003-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-210-086-N.jpg,CFD-WF-231-099-N.jpg,CFD-WF-017-015-HO.jpg
1,1,105,CFD-WF-222-092-N.jpg,CFD-WF-018-018-HO.jpg,CFD-WF-028-023-N.jpg,CFD-WF-024-031-F.jpg,CFD-WF-020-027-F.jpg,CFD-WM-001-007-HC.jpg
1,-1,141,CFD-WF-017-003-N.jpg,CFD-WF-015-022-HO.jpg,CFD-WF-029-002-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-007-005-HC.jpg,CFD-WF-033-035-F.jpg
0,-1,59,CFD-WM-001-007-HC.jpg,CFD-WF-214-122-N.jpg,CFD-WF-003-003-N.jpg,CFD-WF-037-024-F.jpg,CFD-WF-034-016-A.jpg,CFD-WF-223-133-N.jpg
1,-1,55,CFD-WF-234-086-N.jpg,CFD-WF-007-026-F.jpg,CFD-WF-035-033-A.jpg,CFD-WF-006-019-A.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-014-023-F.jpg
1,1,82,CFD-WM-001-007-HC.jpg,CFD-WF-013-019-F.jpg,CFD-WF-037-016-A.jpg,CFD-WF-028-019-F.jpg,CFD-WF-237-067-N.jpg,CFD-WF-016-003-HO.jpg
0,1,89,CFD-WM-001-007-HC.jpg,CFD-WF-031-015-A.jpg,CFD-WF-033-005-HO.jpg,CFD-WF-029-021-HO.jpg,CFD-WF-001-027-F.jpg,CFD-WF-010-013-F.jpg
0,1,71,CFD-WF-017-016-HC.jpg,CFD-WF-033-035-F.jpg,CFD-WF-018-019-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-015-022-HO.jpg,CFD-WF-247-065-N.jpg
1,-1,91,CFD-WF-021-018-A.jpg,CFD-WF-245-084-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-201-156-N.jpg,CFD-WF-015-014-A.jpg,CFD-WF-023-003-N.jpg
0,-1,114,CFD-WF-222-092-N.jpg,CFD-WF-039-008-HC.jpg,CFD-WF-224-099-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-024-031-F.jpg,CFD-WF-023-020-HO.jpg
0,1,46,CFD-WF-218-087-N.jpg,CFD-WF-023-026-F.jpg,CFD-WF-035-019-F.jpg,CFD-WF-036-023-N.jpg,CFD-WF-034-033-HO.jpg,CFD-WM-001-007-HC.jpg
